English,Remedy_1,Remedy_2,Remedy_3,Remedy_dummy,Symptoms,Remedy_DUMMY,Remedy
SWEET TASTE,TAKE CALCARIA PHOSPHORICA  3X OR 12X. ,,,TAKE CALCARIA PHOSPHORICA  3X OR 12X. ,Sweet Taste,Take Calcaria Phosphorica  3X Or 12X. ,Take Calcaria Phosphorica 3X Or 12X.
SWELLING-OEDEMA,"CALCARIA FLOURIDE 3X , FERRUM PHOSPHORICUM 12X , KALI MURIATICUM 3X , KALI SULPHURICUM 3X , KALI  PHOSPHORICA 3X , NATRUM MURIATICUM 3X , NATRUM PHOSPHORICUM 3X , NATRUM SULPHURICUM 3X , SILICEA 12X MIX AND TAKE AT THE GAP OF 3-3 HOURS 4 TIMES A DAY. ",,,"CALCARIA FLOURIDE 3X , FERRUM PHOSPHORICUM 12X , KALI MURIATICUM 3X , KALI SULPHURICUM 3X , KALI  PHOSPHORICA 3X , NATRUM MURIATICUM 3X , NATRUM PHOSPHORICUM 3X , NATRUM SULPHURICUM 3X , SILICEA 12X MIX AND TAKE AT THE GAP OF 3-3 HOURS 4 TIMES A DAY. ",Swelling-Oedema,"Calcaria Flouride 3X , Ferrum Phosphoricum 12X , Kali Muriaticum 3X , Kali Sulphuricum 3X , Kali  Phosphorica 3X , Natrum Muriaticum 3X , Natrum Phosphoricum 3X , Natrum Sulphuricum 3X , Silicea 12X Mix And Take At The Gap Of 3-3 Hours 4 Times A Day. ","Calcaria Flouride 3X , Ferrum Phosphoricum 12X , Kali Muriaticum 3X , Kali Sulphuricum 3X , Kali Phosphorica 3X , Natrum Muriaticum 3X , Natrum Phosphoricum 3X , Natrum Sulphuricum 3X , Silicea 12X Mix And Take At The Gap Of 3-3 Hours 4 Times A Day."
SYMPTOMS DURING SLEEP,,,,"3 granules before going to sleep ; and possibly 3 granules at night in case he wakes up.  Calcarea Carbonica 9CH - he sweats while sleeping  Mercurius Solubilis 9CH - he drools while sleeping Arsenicum Album - he wakes up anxious Stramonium 9CH - he has night terrors (he starts screaming while sleeping ,  but he calms down if you turn on the light ,  if he feels a presence) Stramonium 9CH - he often has nightmares Belladonna 9CH - he speaks while sleeping.   Belladonna 9CH - he grinds his teeth while sleeping.  Lycopodium Clavatum 9CH - he laughs while sleeping Chamomilla Vulgaris 9CH - he cries while sleeping.  Chamomilla Vulgaris 9CH - he coughs while sleeping ,  without waking up.  Lycopodium Clavatum 9CH - he sleeps with his eyes half opened.  Hyoscyamus Niger 9CH - he startles while sleeping Pulsatilla 9CH - he rocks while sleeping. ",Symptoms During Sleep,"3 Granules Before Going To Sleep ; And Possibly 3 Granules At Night In Case He Wakes Up.  Calcarea Carbonica 9Ch - He Sweats While Sleeping  Mercurius Solubilis 9Ch - He Drools While Sleeping Arsenicum Album - He Wakes Up Anxious Stramonium 9Ch - He Has Night Terrors (He Starts Screaming While Sleeping ,  But He Calms Down If You Turn On The Light ,  If He Feels A Presence) Stramonium 9Ch - He Often Has Nightmares Belladonna 9Ch - He Speaks While Sleeping.   Belladonna 9Ch - He Grinds His Teeth While Sleeping.  Lycopodium Clavatum 9Ch - He Laughs While Sleeping Chamomilla Vulgaris 9Ch - He Cries While Sleeping.  Chamomilla Vulgaris 9Ch - He Coughs While Sleeping ,  Without Waking Up.  Lycopodium Clavatum 9Ch - He Sleeps With His Eyes Half Opened.  Hyoscyamus Niger 9Ch - He Startles While Sleeping Pulsatilla 9Ch - He Rocks While Sleeping. ","3 Granules Before Going To Sleep ; And Possibly 3 Granules At Night In Case He Wakes Up. Calcarea Carbonica 9Ch - He Sweats While Sleeping Mercurius Solubilis 9Ch - He Drools While Sleeping Arsenicum Album - He Wakes Up Anxious Stramonium 9Ch - He Has Night Terrors (He Starts Screaming While Sleeping , But He Calms Down If You Turn On The Light , If He Feels A Presence) Stramonium 9Ch - He Often Has Nightmares Belladonna 9Ch - He Speaks While Sleeping. Belladonna 9Ch - He Grinds His Teeth While Sleeping. Lycopodium Clavatum 9Ch - He Laughs While Sleeping Chamomilla Vulgaris 9Ch - He Cries While Sleeping. Chamomilla Vulgaris 9Ch - He Coughs While Sleeping , Without Waking Up. Lycopodium Clavatum 9Ch - He Sleeps With His Eyes Half Opened. Hyoscyamus Niger 9Ch - He Startles While Sleeping Pulsatilla 9Ch - He Rocks While Sleeping."
SYNOVITIS," CALCARIA FLOURIDE 3X , CALCARIA PHOSPHORICA  12X , FERRUM PHOSPHORICUM 12X , NATRUM MURIATICUM  , SILICEA 12X MIX  AND TAKE . ",,," CALCARIA FLOURIDE 3X , CALCARIA PHOSPHORICA  12X , FERRUM PHOSPHORICUM 12X , NATRUM MURIATICUM  , SILICEA 12X MIX  AND TAKE . ",Synovitis," Calcaria Flouride 3X , Calcaria Phosphorica  12X , Ferrum Phosphoricum 12X , Natrum Muriaticum  , Silicea 12X Mix  And Take . ","Calcaria Flouride 3X , Calcaria Phosphorica 12X , Ferrum Phosphoricum 12X , Natrum Muriaticum , Silicea 12X Mix And Take ."
SYPHILIS,"CALCARIA FLOURIDE 3X , CALCARIA PHOSPHORICA  3X OR 12X , KALI PHOSPHORICUM 3X , KALI MURIATICUM 3X , KALI SULPHURICUM 3X , NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X , NATRUM PHOSPHORICUM 3X , SILICEA 12X  MIX AND TAKE.  AFTER THAT GIVE HIGH POTENCIES OF THESE TABLETS , IF REMEDY FAILS TRY REMEDY 2. ","CALCARIA SULPHURICUM 3X , KALI SULPHURICUM 3X , NATRUM MURIATICUM 3X , NATRUM PHOSPHORICUM 3X , SILICEA 12X , FERRUM PHOSPHORICUM 3X ,   MIX AND TAKE.  AFTER THAT GIVE HIGH POTENCIES OF THESE TABLETS. ",,"CALCARIA FLOURIDE 3X , CALCARIA PHOSPHORICA  3X OR 12X , KALI PHOSPHORICUM 3X , KALI MURIATICUM 3X , KALI SULPHURICUM 3X , NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X , NATRUM PHOSPHORICUM 3X , SILICEA 12X  MIX AND TAKE.  AFTER THAT GIVE HIGH POTENCIES OF THESE TABLETS , IF REMEDY FAILS TRY REMEDY 2.  , CALCARIA SULPHURICUM 3X , KALI SULPHURICUM 3X , NATRUM MURIATICUM 3X , NATRUM PHOSPHORICUM 3X , SILICEA 12X , FERRUM PHOSPHORICUM 3X ,   MIX AND TAKE.  AFTER THAT GIVE HIGH POTENCIES OF THESE TABLETS.  , ",Syphilis,"Calcaria Flouride 3X , Calcaria Phosphorica  3X Or 12X , Kali Phosphoricum 3X , Kali Muriaticum 3X , Kali Sulphuricum 3X , Natrum Sulphuricum 3X , Natrum Muriaticum 3X , Natrum Phosphoricum 3X , Silicea 12X  Mix And Take.  After That Give High Potencies Of These Tablets , If Remedy Fails Try Remedy 2.  , Calcaria Sulphuricum 3X , Kali Sulphuricum 3X , Natrum Muriaticum 3X , Natrum Phosphoricum 3X , Silicea 12X , Ferrum Phosphoricum 3X ,   Mix And Take.  After That Give High Potencies Of These Tablets.  , ","Calcaria Flouride 3X , Calcaria Phosphorica 3X Or 12X , Kali Phosphoricum 3X , Kali Muriaticum 3X , Kali Sulphuricum 3X , Natrum Sulphuricum 3X , Natrum Muriaticum 3X , Natrum Phosphoricum 3X , Silicea 12X Mix And Take. After That Give High Potencies Of These Tablets , If Remedy Fails Try Remedy 2. , Calcaria Sulphuricum 3X , Kali Sulphuricum 3X , Natrum Muriaticum 3X , Natrum Phosphoricum 3X , Silicea 12X , Ferrum Phosphoricum 3X , Mix And Take. After That Give High Potencies Of These Tablets. ,"
TABACCO STOPPAGE,,,,As an uncontrolled aggression occurs most of the times during a stoppage of tobacco or alcohol  it is useful to know remedies that can be administrated according to symptoms.  Moschus 9 CH and Sumbul 9 CH calm nervousness taken alternatively  3 granules of each  3 times a day.  Caladium Seguinum 9 CH is equally a remedy that efficiently fights against the irrational wish of smoking.  This medicine is taken in a  dosage of 3 granules  in the morning and in the evening.  To remove the wish of smoking  it is also recommeded to take 5 granules of Lob\u00e9lia Inflata  3 times a day  with half an hour before meals.  Other supplementary granules can be taken when the smoking desire becomes urgent and incontrollable. ,Tobacco Stoppage,As An Uncontrolled Aggression Occurs Most Of The Times During A Stoppage Of Tobacco Or Alcohol  It Is Useful To Know Remedies That Can Be Administrated According To Symptoms.  Moschus 9 Ch And Sumbul 9 Ch Calm Nervousness Taken Alternatively  3 Granules Of Each  3 Times A Day.  Caladium Seguinum 9 Ch Is Equally A Remedy That Efficiently Fights Against The Irrational Wish Of Smoking.  This Medicine Is Taken In A  Dosage Of 3 Granules  In The Morning And In The Evening.  To Remove The Wish Of Smoking  It Is Also Recommeded To Take 5 Granules Of Lob\U00E9Lia Inflata  3 Times A Day  With Half An Hour Before Meals.  Other Supplementary Granules Can Be Taken When The Smoking Desire Becomes Urgent And Incontrollable. ,As An Uncontrolled Aggression Occurs Most Of The Times During A Stoppage Of Tobacco Or Alcohol It Is Useful To Know Remedies That Can Be Administrated According To Symptoms. Moschus 9 Ch And Sumbul 9 Ch Calm Nervousness Taken Alternatively 3 Granules Of Each 3 Times A Day. Caladium Seguinum 9 Ch Is Equally A Remedy That Efficiently Fights Against The Irrational Wish Of Smoking. This Medicine Is Taken In A Dosage Of 3 Granules In The Morning And In The Evening. To Remove The Wish Of Smoking It Is Also Recommeded To Take 5 Granules Of Lob\U00E9Lia Inflata 3 Times A Day With Half An Hour Before Meals. Other Supplementary Granules Can Be Taken When The Smoking Desire Becomes Urgent And Incontrollable.
TASTE BITTER,"CALCARIA FLOURIDE 3X , CALCARIA PHOSPHORICA  3X OR 12X , KALI PHOSPHORICUM 3X , KALI MURIATICUM 3X , MAGNESIA PHOSPHORICA 3X , NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X , NATRUM PHOSPHORICUM 3X , SILICEA 12X  MIX AND TAKE , IF REMEDY FAILS TRY REMEDY 2. ",TAKE CALCARIA SULPHURICUM 3X. ,,"CALCARIA FLOURIDE 3X , CALCARIA PHOSPHORICA  3X OR 12X , KALI PHOSPHORICUM 3X , KALI MURIATICUM 3X , MAGNESIA PHOSPHORICA 3X , NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X , NATRUM PHOSPHORICUM 3X , SILICEA 12X  MIX AND TAKE , IF REMEDY FAILS TRY REMEDY 2.  , TAKE CALCARIA SULPHURICUM 3X.  , ",Taste Bitter,"Calcaria Flouride 3X , Calcaria Phosphorica  3X Or 12X , Kali Phosphoricum 3X , Kali Muriaticum 3X , Magnesia Phosphorica 3X , Natrum Sulphuricum 3X , Natrum Muriaticum 3X , Natrum Phosphoricum 3X , Silicea 12X  Mix And Take , If Remedy Fails Try Remedy 2.  , Take Calcaria Sulphuricum 3X.  , ","Calcaria Flouride 3X , Calcaria Phosphorica 3X Or 12X , Kali Phosphoricum 3X , Kali Muriaticum 3X , Magnesia Phosphorica 3X , Natrum Sulphuricum 3X , Natrum Muriaticum 3X , Natrum Phosphoricum 3X , Silicea 12X Mix And Take , If Remedy Fails Try Remedy 2. , Take Calcaria Sulphuricum 3X. ,"
TASTE SALTY,TAKE NATRUM MURIATICUM 3X. ,,,TAKE NATRUM MURIATICUM 3X. ,Taste Salty,Take Natrum Muriaticum 3X. ,Take Natrum Muriaticum 3X.
TEETH CARE OF,FRENCH CHALK,,,FRENCH CHALK,Teeth Care Of,French Chalk,French Chalk
TEETH SENSITIVE TO WATER ETC. ,"CALCARIA PHOSPHORICA  3X OR 12X , CALCARIA SULPHURICUM 3X , FERRUM PHOSPHORICUM 3X , KALI PHOSPHORICUM 3X , NATRUM MURIATICUM 3X , SILICEA 12X  MIX AND TAKE , IF REMEDY FAILS TRY REMEDY 2. ","CALCARIA FLOURIDE 3X , KALI MURIATICUM 3X , MAGNESIA PHOSPHORICA 3X , KALI SULPHURICUM 3X , NATRUM SULPHURICUM 3X , NATRUM PHOSPHORICUM 3X ,   MIX AND TAKE. ",,"CALCARIA PHOSPHORICA  3X OR 12X , CALCARIA SULPHURICUM 3X , FERRUM PHOSPHORICUM 3X , KALI PHOSPHORICUM 3X , NATRUM MURIATICUM 3X , SILICEA 12X  MIX AND TAKE , IF REMEDY FAILS TRY REMEDY 2.  , CALCARIA FLOURIDE 3X , KALI MURIATICUM 3X , MAGNESIA PHOSPHORICA 3X , KALI SULPHURICUM 3X , NATRUM SULPHURICUM 3X , NATRUM PHOSPHORICUM 3X ,   MIX AND TAKE.  , ",Teeth Sensitive To Water Etc. ,"Calcaria Phosphorica  3X Or 12X , Calcaria Sulphuricum 3X , Ferrum Phosphoricum 3X , Kali Phosphoricum 3X , Natrum Muriaticum 3X , Silicea 12X  Mix And Take , If Remedy Fails Try Remedy 2.  , Calcaria Flouride 3X , Kali Muriaticum 3X , Magnesia Phosphorica 3X , Kali Sulphuricum 3X , Natrum Sulphuricum 3X , Natrum Phosphoricum 3X ,   Mix And Take.  , ","Calcaria Phosphorica 3X Or 12X , Calcaria Sulphuricum 3X , Ferrum Phosphoricum 3X , Kali Phosphoricum 3X , Natrum Muriaticum 3X , Silicea 12X Mix And Take , If Remedy Fails Try Remedy 2. , Calcaria Flouride 3X , Kali Muriaticum 3X , Magnesia Phosphorica 3X , Kali Sulphuricum 3X , Natrum Sulphuricum 3X , Natrum Phosphoricum 3X , Mix And Take. ,"
TEETH THAT ARE SLOW TO EMERGE,,,,"3 granules of each ,  3 times a day for 1 or 2 monthsCalcarea Carbonica 9CHSilicea 9CH",Teeth That Are Slow To Emerge,"3 Granules Of Each ,  3 Times A Day For 1 Or 2 Monthscalcarea Carbonica 9Chsilicea 9Ch","3 Granules Of Each , 3 Times A Day For 1 Or 2 Monthscalcarea Carbonica 9Chsilicea 9Ch"
TEETHING,CALCARIA PHOSPHORICA  3X. ,,,CALCARIA PHOSPHORICA  3X. ,Teething1,Calcaria Phosphorica  3X. ,Calcaria Phosphorica 3X.
TEETHING,,,,"Give Chamomilla 9CH ,  5 granules every 2 hours until improvement of all signes (cries ,  grumpy character ,  hypersensitivity. . . . ). In case of fever - Aconit 7CH. In case of diarrhea - Podophyllum 7CHIn case of delayed dentition -Calcarea Carbonica 7CH - 1 dose per week. Silicea 9CH - 3 granules 3 times per day.  ",Teething,"Give Chamomilla 9Ch ,  5 Granules Every 2 Hours Until Improvement Of All Signes (Cries ,  Grumpy Character ,  Hypersensitivity. . . . ). In Case Of Fever - Aconit 7Ch. In Case Of Diarrhea - Podophyllum 7Chin Case Of Delayed Dentition -Calcarea Carbonica 7Ch - 1 Dose Per Week. Silicea 9Ch - 3 Granules 3 Times Per Day.  ","Give Chamomilla 9Ch , 5 Granules Every 2 Hours Until Improvement Of All Signes (Cries , Grumpy Character , Hypersensitivity. . . . ). In Case Of Fever - Aconit 7Ch. In Case Of Diarrhea - Podophyllum 7Chin Case Of Delayed Dentition -Calcarea Carbonica 7Ch - 1 Dose Per Week. Silicea 9Ch - 3 Granules 3 Times Per Day."
TEETHING IN CHILDREN,CALCAREA PHOSPHORICA 3X CALCARIA FLOURIDE 3X MIX AND TAKE  ,,,CALCAREA PHOSPHORICA 3X CALCARIA FLOURIDE 3X MIX AND TAKE  ,Teething In Children,Calcarea Phosphorica 3X Calcaria Flouride 3X Mix And Take  ,Calcarea Phosphorica 3X Calcaria Flouride 3X Mix And Take
THE BABY CRIES EVERY NIGHT,,,,"It is a  phenomenon experienced by many parents and hard to explain.  It often occurs around dusk (between 6 and 8 o\u2019clock in the morning).  PHOSPHORUS 9CH ,  three granules melted in a little water' ,  or a measure of triturations as soon as the sun goes down. ",The Baby Cries Every Night,"It Is A  Phenomenon Experienced By Many Parents And Hard To Explain.  It Often Occurs Around Dusk (Between 6 And 8 O\U2019Clock In The Morning).  Phosphorus 9Ch ,  Three Granules Melted In A Little Water' ,  Or A Measure Of Triturations As Soon As The Sun Goes Down. ","It Is A Phenomenon Experienced By Many Parents And Hard To Explain. It Often Occurs Around Dusk (Between 6 And 8 O\U2019Clock In The Morning). Phosphorus 9Ch , Three Granules Melted In A Little Water' , Or A Measure Of Triturations As Soon As The Sun Goes Down."
THE REFUSAL OF THE BREAST,,,,"1 dose to dissolve in a small quantity of water.  To give at one time.  CALCAREA PHOSPHORICA 9CH - vigurous head at first ,  but suddenly abandoned.  CARBO VEGETABILIS 15CH - in case this state follows a hospitalization or a resuscitation.  CINA 15CH - the baby is crying every time he is given the breast and is not drinking only when rocked or walked.  NUX MOCHATA 9CH - hypothermia ,  dry mouth.  OPIUM 15CH - rebellious somnolence when requested - associated with ARNICA 9 CH.  SILICEA 15CH - sleepy ,  lacking force for sucking.  STAPHYSAGRIA 15CH - in case the baby sleeps during daytime ,  but catches up at night ,  calling up hourly. ",The Refusal Of The Breast,"1 Dose To Dissolve In A Small Quantity Of Water.  To Give At One Time.  Calcarea Phosphorica 9Ch - Vigurous Head At First ,  But Suddenly Abandoned.  Carbo Vegetabilis 15Ch - In Case This State Follows A Hospitalization Or A Resuscitation.  Cina 15Ch - The Baby Is Crying Every Time He Is Given The Breast And Is Not Drinking Only When Rocked Or Walked.  Nux Mochata 9Ch - Hypothermia ,  Dry Mouth.  Opium 15Ch - Rebellious Somnolence When Requested - Associated With Arnica 9 Ch.  Silicea 15Ch - Sleepy ,  Lacking Force For Sucking.  Staphysagria 15Ch - In Case The Baby Sleeps During Daytime ,  But Catches Up At Night ,  Calling Up Hourly. ","1 Dose To Dissolve In A Small Quantity Of Water. To Give At One Time. Calcarea Phosphorica 9Ch - Vigurous Head At First , But Suddenly Abandoned. Carbo Vegetabilis 15Ch - In Case This State Follows A Hospitalization Or A Resuscitation. Cina 15Ch - The Baby Is Crying Every Time He Is Given The Breast And Is Not Drinking Only When Rocked Or Walked. Nux Mochata 9Ch - Hypothermia , Dry Mouth. Opium 15Ch - Rebellious Somnolence When Requested - Associated With Arnica 9 Ch. Silicea 15Ch - Sleepy , Lacking Force For Sucking. Staphysagria 15Ch - In Case The Baby Sleeps During Daytime , But Catches Up At Night , Calling Up Hourly."
THINNESS,,,,In the morning - Aceticum Acidum 5CH followed by China 5CHIn the evening - Nux Vomica 5CH 5 granules.  ,Thinness,In The Morning - Aceticum Acidum 5Ch Followed By China 5Chin The Evening - Nux Vomica 5Ch 5 Granules.  ,In The Morning - Aceticum Acidum 5Ch Followed By China 5Chin The Evening - Nux Vomica 5Ch 5 Granules.
THIRST INCREASAD,BRYONIA 6 IF REMEDY FAILS TRY REMEDY 2. ,"TAKE CALCARIA PHOSPHORICA  3X OR 12X , CALCARIA SULPHURICUM 3X , FERRUM PHOSPHORICUM 12X , KALI MURIATICUM 3X , KALI SULPHURICUM 3X , FERRUM PHOSPHORICUM 12X",,"BRYONIA 6 IF REMEDY FAILS TRY REMEDY 2.  , TAKE CALCARIA PHOSPHORICA  3X OR 12X , CALCARIA SULPHURICUM 3X , FERRUM PHOSPHORICUM 12X , KALI MURIATICUM 3X , KALI SULPHURICUM 3X , FERRUM PHOSPHORICUM 12X , ",Thirst Increased,"Bryonia 6 If Remedy Fails Try Remedy 2.  , Take Calcaria Phosphorica  3X Or 12X , Calcaria Sulphuricum 3X , Ferrum Phosphoricum 12X , Kali Muriaticum 3X , Kali Sulphuricum 3X , Ferrum Phosphoricum 12X , ","Bryonia 6 If Remedy Fails Try Remedy 2. , Take Calcaria Phosphorica 3X Or 12X , Calcaria Sulphuricum 3X , Ferrum Phosphoricum 12X , Kali Muriaticum 3X , Kali Sulphuricum 3X , Ferrum Phosphoricum 12X ,"
THROMBOSIS,"KALI MURIATICUM 3X , 6X AFTER 2-2 OR 5-5 MINUTES. ",,,"KALI MURIATICUM 3X , 6X AFTER 2-2 OR 5-5 MINUTES. ",Thrombosis,"Kali Muriaticum 3X , 6X After 2-2 Or 5-5 Minutes. ","Kali Muriaticum 3X , 6X After 2-2 Or 5-5 Minutes."
THRUSH,,,,"BORAX 5CH - whitish punctiform elements.  nervous child ,  hypersensitive to noises and to rocking movements or movement of the body.  KALIUM MURIATICUM 5CH - widespread plaques with white coating on tongue  ALOE 5CH - lesions localized inside the cheeks.  NATRUM PHOSPHORICUM 7CH - gastrointestinal symptoms going of up to itchy diarrhea with ulceration of the anal circumference.  SULFURICUM ACIDUM 7CH - refractory cases ,  with raw oral mucosa as burnt by acid. ",Thrush,"Borax 5Ch - Whitish Punctiform Elements.  Nervous Child ,  Hypersensitive To Noises And To Rocking Movements Or Movement Of The Body.  Kalium Muriaticum 5Ch - Widespread Plaques With White Coating On Tongue  Aloe 5Ch - Lesions Localized Inside The Cheeks.  Natrum Phosphoricum 7Ch - Gastrointestinal Symptoms Going Of Up To Itchy Diarrhea With Ulceration Of The Anal Circumference.  Sulfuricum Acidum 7Ch - Refractory Cases ,  With Raw Oral Mucosa As Burnt By Acid. ","Borax 5Ch - Whitish Punctiform Elements. Nervous Child , Hypersensitive To Noises And To Rocking Movements Or Movement Of The Body. Kalium Muriaticum 5Ch - Widespread Plaques With White Coating On Tongue Aloe 5Ch - Lesions Localized Inside The Cheeks. Natrum Phosphoricum 7Ch - Gastrointestinal Symptoms Going Of Up To Itchy Diarrhea With Ulceration Of The Anal Circumference. Sulfuricum Acidum 7Ch - Refractory Cases , With Raw Oral Mucosa As Burnt By Acid."
THRUSH,,,,Oral thrush is an infection of the oral mucous membrane  caused by yeast-like fungi. Borax 5CH  Mercurius Cyanatus 5CH  Candida 7CH  Sepia 5CH 3 granules of each 3 times per day.  ,Thrush1,Oral Thrush Is An Infection Of The Oral Mucous Membrane  Caused By Yeast-Like Fungi. Borax 5Ch  Mercurius Cyanatus 5Ch  Candida 7Ch  Sepia 5Ch 3 Granules Of Each 3 Times Per Day.  ,Oral Thrush Is An Infection Of The Oral Mucous Membrane Caused By Yeast-Like Fungi. Borax 5Ch Mercurius Cyanatus 5Ch Candida 7Ch Sepia 5Ch 3 Granules Of Each 3 Times Per Day.
THRUSHES,,,,Arsenicum Album 9CH- with burning sensations in the mouth  improved by heat  Borax 5CH - bleeding and painful at contact with foodMercurius Solubilis 6CH - with abundant salivation and bad breath  Nitricum Acidum 6CH - with stinging pains  Sulfuricum Acidum 5CH - with exudation of a yellowish liquid . ,Thrushes,Arsenicum Album 9Ch- With Burning Sensations In The Mouth  Improved By Heat  Borax 5Ch - Bleeding And Painful At Contact With Foodmercurius Solubilis 6Ch - With Abundant Salivation And Bad Breath  Nitricum Acidum 6Ch - With Stinging Pains  Sulfuricum Acidum 5Ch - With Exudation Of A Yellowish Liquid . ,Arsenicum Album 9Ch- With Burning Sensations In The Mouth Improved By Heat Borax 5Ch - Bleeding And Painful At Contact With Foodmercurius Solubilis 6Ch - With Abundant Salivation And Bad Breath Nitricum Acidum 6Ch - With Stinging Pains Sulfuricum Acidum 5Ch - With Exudation Of A Yellowish Liquid .
TICS IN CHILDREN,,,,"Concerning tics occured during childhood ,  homeopathy disposes of a certain number of remedies that can eliminate certain problems.  Tics characterized by eyes ,  mouth ,  hands and feet movements ,  can be treated with Zincum Metallicum.  In nervous ,  agitated children infected with worms ,  it is recommended to administrate 5 granules of Cina 15 CH per day.  In case tics are accompanied by lethargy and spasm ,  it can be indicated Agaricus Muscarius.  At last ,  in case tics are manifested by coprolalia ,  it is recommended a treatment based on Hyoscyamus. ",Tics In Children,"Concerning Tics Occured During Childhood ,  Homeopathy Disposes Of A Certain Number Of Remedies That Can Eliminate Certain Problems.  Tics Characterized By Eyes ,  Mouth ,  Hands And Feet Movements ,  Can Be Treated With Zincum Metallicum.  In Nervous ,  Agitated Children Infected With Worms ,  It Is Recommended To Administrate 5 Granules Of Cina 15 Ch Per Day.  In Case Tics Are Accompanied By Lethargy And Spasm ,  It Can Be Indicated Agaricus Muscarius.  At Last ,  In Case Tics Are Manifested By Coprolalia ,  It Is Recommended A Treatment Based On Hyoscyamus. ","Concerning Tics Occured During Childhood , Homeopathy Disposes Of A Certain Number Of Remedies That Can Eliminate Certain Problems. Tics Characterized By Eyes , Mouth , Hands And Feet Movements , Can Be Treated With Zincum Metallicum. In Nervous , Agitated Children Infected With Worms , It Is Recommended To Administrate 5 Granules Of Cina 15 Ch Per Day. In Case Tics Are Accompanied By Lethargy And Spasm , It Can Be Indicated Agaricus Muscarius. At Last , In Case Tics Are Manifested By Coprolalia , It Is Recommended A Treatment Based On Hyoscyamus."
TINNITUS,,,,Tinnitus means sounds in the ears.  They are treated in the following way -Three granules three times per day  alternated with ACTAE RACEMOSA 5CH  CHININUM SULFURICUM 5CH  GLONOINUM CH  and this until improvement of the ears disorders. ,Tinnitus,Tinnitus Means Sounds In The Ears.  They Are Treated In The Following Way -Three Granules Three Times Per Day  Alternated With Actae Racemosa 5Ch  Chininum Sulfuricum 5Ch  Glonoinum Ch  And This Until Improvement Of The Ears Disorders. ,Tinnitus Means Sounds In The Ears. They Are Treated In The Following Way -Three Granules Three Times Per Day Alternated With Actae Racemosa 5Ch Chininum Sulfuricum 5Ch Glonoinum Ch And This Until Improvement Of The Ears Disorders.
TIREDNESS,,,,After a physical effort excess or a trauma - Arnica 9CH  1 dose.  When growing up too fast - Calcarea Phosphorica 9CH  1 dose on Sunday.  After an important liquid loss (diarrhea  affluent menstruation  sweating  profusions  vomiting) - China Officinalis 5CH 5 granules 2 times per day. After sleepless hours or prolonged insomnia - Cocculus indicus 7CH.  after bad news - Gelsemium 9CH  1 dose.  Tiredness with weight loss  even when eating - Iodum 7CH ou Natrum Mur.  9CH Mental tiredness- Kalium Phosphoricum 9CH. Recovery of an infectious disease - Pulsatilla 7CH  or Sulfur 7CH.  Painful tiredness after practicing sport - Rhus Toxicodendron 9CH and Arnica 7CH.  After childbirth- Sepia 9CH (avoids depression). ,Tiredness,After A Physical Effort Excess Or A Trauma - Arnica 9Ch  1 Dose.  When Growing Up Too Fast - Calcarea Phosphorica 9Ch  1 Dose On Sunday.  After An Important Liquid Loss (Diarrhea  Affluent Menstruation  Sweating  Profusions  Vomiting) - China Officinalis 5Ch 5 Granules 2 Times Per Day. After Sleepless Hours Or Prolonged Insomnia - Cocculus Indicus 7Ch.  After Bad News - Gelsemium 9Ch  1 Dose.  Tiredness With Weight Loss  Even When Eating - Iodum 7Ch Ou Natrum Mur.  9Ch Mental Tiredness- Kalium Phosphoricum 9Ch. Recovery Of An Infectious Disease - Pulsatilla 7Ch  Or Sulfur 7Ch.  Painful Tiredness After Practicing Sport - Rhus Toxicodendron 9Ch And Arnica 7Ch.  After Childbirth- Sepia 9Ch (Avoids Depression). ,After A Physical Effort Excess Or A Trauma - Arnica 9Ch 1 Dose. When Growing Up Too Fast - Calcarea Phosphorica 9Ch 1 Dose On Sunday. After An Important Liquid Loss (Diarrhea Affluent Menstruation Sweating Profusions Vomiting) - China Officinalis 5Ch 5 Granules 2 Times Per Day. After Sleepless Hours Or Prolonged Insomnia - Cocculus Indicus 7Ch. After Bad News - Gelsemium 9Ch 1 Dose. Tiredness With Weight Loss Even When Eating - Iodum 7Ch Ou Natrum Mur. 9Ch Mental Tiredness- Kalium Phosphoricum 9Ch. Recovery Of An Infectious Disease - Pulsatilla 7Ch Or Sulfur 7Ch. Painful Tiredness After Practicing Sport - Rhus Toxicodendron 9Ch And Arnica 7Ch. After Childbirth- Sepia 9Ch (Avoids Depression).
TOBACCO TO REMOVE CRAVING FOR,"CALCARIA PHOSPHORICA  3X OR 12X , NATRUM MURIATICUM 3X. ",,,"CALCARIA PHOSPHORICA  3X OR 12X , NATRUM MURIATICUM 3X. ",Tobacco To Remove Craving For,"Calcaria Phosphorica  3X Or 12X , Natrum Muriaticum 3X. ","Calcaria Phosphorica 3X Or 12X , Natrum Muriaticum 3X."
