English,Remedy_1,Remedy_2,Remedy_3,Remedy
RHEUMATISM,"CALCARIA PHOSPHORICA  3X ,FERRUM PHOSPHORICUM 12X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X, KALI SULPHURICUM 3X ,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X, MAGNESIA PHOSPHORICA 3X ,SILICEA 12X  MIX AND TAKE.IF REMEDY FAILS TRY REMEDY 2.","CALCARIA FLOURIDE 3X, CALCARIA SULPHURICUM 3X MIX AND TAKE.",,"CALCARIA PHOSPHORICA  3X ,FERRUM PHOSPHORICUM 12X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X, KALI SULPHURICUM 3X ,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X, MAGNESIA PHOSPHORICA 3X ,SILICEA 12X  MIX AND TAKE.IF REMEDY FAILS TRY REMEDY 2.,CALCARIA FLOURIDE 3X, CALCARIA SULPHURICUM 3X MIX AND TAKE.,"
RHEUMATISM,,,,Medications : 5 granules 3 times per day in 6CH. If early treated : Ferrum phos. 4CH. Improved by rest : Bryonia 4CH. Improved by mouvement and heat : Rhus. 4CH. Sensitive to wheather changes: Rhododendron 4CH. In case of wandering pains: Kalium sulfuricum. If aggravated by heat : Apis 4CH. With muscle or contractive pains : Cimicifuga 4CH. Aggravated by rain or humidity : Dulcamara 4CH. Aggravated by nice or cold wheather : Causticum 4CH.Chronic rheumatism : Causticum of 4CH \u00e0 9CH  Rhus tox. of 4CH to 9CH  Sulfur of 4CH to 9CH.
RHINO-PHARYNGITIS AND RHINITIS,,,," Following a cold : ACONIT 9CH : 1 dose with no interruption, especially after a dry cold with fever to 40 degrees, without sweating, then/or BELLADONNA 5CH : 5 granules 3 times per day, in case of fever and sweat. to associate with remedy of nasal flow symptoms(aqueous, mucopurulent, ...)"
RICKETS,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X,KALI PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X  MIX AND TAKE.",,,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X,KALI PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X  MIX AND TAKE."
RICKETS,,,,"In case your child presents insufficient bone calcification, because of a lack of calcium, magnesium and D vitamin, you have to administrate him CALCAREA CARBONICA 5CH or CALCAREA PHOSPHORICA in an amount of 3 granules, 3 times per day, during 10 days.You can repeat this treatment monthly if necessary."
RING WORM,NATRUM SULPHURICUM 200X ONE TABLET IN A WEEK FOR 3-4WEEKS.IF REMEDY FAILS TRY REMEDY 2.,"NATRUM MURIATICUM 3X,SILICEA 12X,KALI SULPHURICUM 3X   MIX AND TAKE.",,"NATRUM SULPHURICUM 200X ONE TABLET IN A WEEK FOR 3-4WEEKS.IF REMEDY FAILS TRY REMEDY 2.,NATRUM MURIATICUM 3X,SILICEA 12X,KALI SULPHURICUM 3X   MIX AND TAKE.,"
ROSACEA,,,,Rosacea  also known as couperose  is an incurable skin disease  initially benign  that manifests by chronic redness on the nose  cheeks  sometimes on the chin and forehead. These symptoms are accompanied by a tingling sensation  especially at the eyes. Small blood vessels are often visible in the affected areas.Carbo Veg. 9CH 3 granules 3 times per day  can stop the evolutionary process. At wake-up  alternate Hamamelis 5CH and Calcarea Fluorica 5CH. At bedtime  alternate Pulsatilla 5CH and Lachesis 7CH. 
ROSACEA ACNE,,,,3 granules of each 3 times per day. Sanguinaria 5CH Carbo Animalis 6CH. 
SANPAAT,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE ,,,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE 
SCIATICA,"CALCARIA PHOSPHORICA  3X OR 12X,FERRUM PHOSPHORICUM 12X,CALCARIA SULPHURICUM 3X ,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X,MAGNESIA PHOSPHORICA 3X , MIX IN WATER AND TAKE.",,,"CALCARIA PHOSPHORICA  3X OR 12X,FERRUM PHOSPHORICUM 12X,CALCARIA SULPHURICUM 3X ,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X,MAGNESIA PHOSPHORICA 3X , MIX IN WATER AND TAKE."
SCIATICA,,,,In case the back pain is localized in the lower back: Take 3 granules 3 times per day of Kalium Carbonicum 5CHIf the back pain localizes between the shoulder blades : Take 3 granules 3 times per day of Actaea Racemosa 5CHIn case of sciatica : Take 1 granule 6 times per day of Hypericum 15CH  Kalmia Latifola 7CH  Bryonia 5CH
SCROFULA,"CALCARIA PHOSPHORICA  3X OR 12 X ,CALCARIA FLOURIDE 3X,KALI MURIATICUM 3X,FERRUM PHOSPHORICUM 12X,MAGNESIA PHOSPHORICA 3X ,NATRUM PHOSPHORICUM 3X,SILICEA 12X MIX  AND TAKE.",,,"CALCARIA PHOSPHORICA  3X OR 12 X ,CALCARIA FLOURIDE 3X,KALI MURIATICUM 3X,FERRUM PHOSPHORICUM 12X,MAGNESIA PHOSPHORICA 3X ,NATRUM PHOSPHORICUM 3X,SILICEA 12X MIX  AND TAKE."
SEA SICKNESS,"NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,KALI PHOSPHORICUM 3X MIX AND TAKE.",,,"NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,KALI PHOSPHORICUM 3X MIX AND TAKE."
SEPTIC TONSILITIS,"CALCARIA SULPHURICUM 3X ORKALI PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,SILICEA 12X  MIX AND TAKE.",,,"CALCARIA SULPHURICUM 3X ORKALI PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,SILICEA 12X  MIX AND TAKE."
SEPTICOEMIA OR SEPITC CONDITION OF BLOOD,KALI PHOSPHORICUM 3X IF REMEDY FAILS TRY REMEDY 2.,"KALI MURIATICUM 3X, KALI SULPHURICUM 3X,FERRUM PHOSPHORICUM 12X,MAGNESIA PHOSPHORICA 3X ,NATRUM PHOSPHORICUM 3X MIX AND TAKE.",,"KALI PHOSPHORICUM 3X IF REMEDY FAILS TRY REMEDY 2.,KALI MURIATICUM 3X, KALI SULPHURICUM 3X,FERRUM PHOSPHORICUM 12X,MAGNESIA PHOSPHORICA 3X ,NATRUM PHOSPHORICUM 3X MIX AND TAKE.,"
SEVERE COLD(CORYZA),,,,Non-irritating flow : Oscillococcinum in an amount of one dose in the morning and in evening  during 3 days.Irritating flow: Allium Cepa 9CH  5 granules every 3 hours  spacing them according to improvement. Sneezing : Nux Vomica 7CH  5 granules every 2 hours  spacing them according to improvement  or one more single dose of Nux Vomica 15CH  at the very beggining of the cold. Mucous flow : Coccus Cacti 7CH  5 granules every three hours  or at wake-up and at bedtime in case the problem is more chronic. Space the medications according to improvementWatery flow : Kali Bich. 9CH or Hydrastis 5CH  5 granules every 2 hours.Purulent flow : Mercurius Solubilis 7CH  5 granules three times per day  1\/2 an hour before meals. Sinusitis : Hepar Sulfur 15CH  associated with Pyrogenium 7CH  5 granules in the morning and in the eveningCough : Sambucus 5CH  5 granules every \u00bd an hour  spacing according to improvement. Stuffy nose : Apis 15CH  5 granules hourly. Space the medications according to improvement. Dry coryza : Sticta Pulmonaria 5CH  5 granules hourly  then every 2 hours. Space the medications according to improvement.
SEXUAL DISORDERS,,,,Impossible erection :Selenium 7CH 5 granules x 2 times. Sexual arousal (man) :3 granules at wake-up : Buffo 5CH. 3 granules at bedtime : Staphysagria 5CH. 10 granules of each at wake-up on every Sunday : Origanum 15CH  Orchitum 15CH.Sexual arousal(woman) : 3 granules at wake-up : Platina 5CH. 3 granules at bedtime : Murex purpurea 5CH. Impotence : 3 granules of each at wake-up : Picric. accid. 5CH  Damiana 4CH. 3 granules of each at bedtime : Agnus castus 4CH  Onosmodium 5CH. 10 granules at wake-up on Sunday : Orchitinum 4CH. Premature ejaculation :3 granules at wake-up : Gelsemium 5CH. 3 granules at 10 o\u2019clock am and at 4 o\u2019clock pm : Conium 5CH. 3 granules at bedtime : Selenium 5CH.
SHAKING HANDS,,,,For relieving shaking hands  administrate 5 granules of Kalium Bromatum 15 CH one time per day. And  for treating aggression accompanied by excessive salivation  take 5 granules of Mercurius Solubilis 15 CH one time a day. The symptoms of this behavior disorder will then dissapear gradually in three months time. But  in case the disorder is severe enough  a treatment based on Natrum muriaticum  on Tarentula Hispana  on Stramonium or on Medorrhinum will be much more efficient.
SHINGLES,,,,Shingles is a viral skin disease caused by the same virus as chickenpox. Nonimmune persons  who have never had chickenpox are at risk of contagion. It must necessarily be avoided the catching of this infectious disease in pregnancy. The homeopathic treatment of shingles is very efficient  provided it is done right after eruption.The occurence of shingles needs a doctor\u2019s intervention  and even of a specialist in case of ophthalmic shingles. The main remedies for the eruption are : - STAPHYLOCOCCINUM 15CH : 1 dose per day during the first three days; - VACCINOTOXINUM 15CH 1 dose in the 1st day of treatment. At the stage of sequelae  3 granules 3 times per day of the selected medicine(s): - In case of a burning sensation at the placement of shingles  improved by heat  Arsenicum album 9CH. - Lightning pains along the injured nerve  Kalmia latifolia 9CH. - Violent pains  sensation of burn aggravated by heat  pains aggravated by heat  by touching  by bathing or during the night  Mezereum 9CH.
SHOULDER PAIN,"KALI PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,SILICEA 12X MIX  AND TAKE.",,,"KALI PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,SILICEA 12X MIX  AND TAKE."
SINUS,"CALCARIA SULPHURICUM 3X,CALCARIA FLOURIDE 3X,NATRUM MURIATICUM 3X ,KALI PHOSPHORICUM 3X MIX AND TAKE.",,,"CALCARIA SULPHURICUM 3X,CALCARIA FLOURIDE 3X,NATRUM MURIATICUM 3X ,KALI PHOSPHORICUM 3X MIX AND TAKE."
SINUSITIS,,,,In early occurence : Pyrogenium 7 or 9 CH : 5 granules in the morning and in the evening during 1 week. Severe sinusitis : 3 granules 3 times per day.Sinusitis without flow  with stuffy nose : Belladonna 7 CH.With pains worsened at bedtime : Hepar Sulfuris 9 CH.Worsened at the slightest air current : Hepar Sulfuris 7 CH.With yellow  thick secretions : Hydrastis Canadensis 5 CH.With green flow or nose crusts : Kalium Bichromicum 7 CH.With pus mixed with blood  Phosphorus 9 CH.Chronic sinusitis : Silicea 9 CH  3 granules 3 times per day + Pyrogenium 7 CH. In case of failure  see a doctor for a background treatment.It must occur a quick improvement in the next 24-48 hours  if not  it is preferable to see a doctor in order to resort to an adapted antibiotic therapy.
SLEEP EXCESSIVE,TAKENATRUM MURIATICUM 3X.,,,TAKENATRUM MURIATICUM 3X.
SLEEPING DIFFICULTIES,,,,"3 granules at bedtime Staphysagria 9CH in case he says \no\"""
SLEEPING DISORDERS,,,,"5 granules in the evening before going to sleep. PULSATILLA 9CH: he needs his hand to be holded for falling asleep, improved by consolation, worsened by heat with need to uncover himself which determines him to wake up and cry. LACHESIS 9CH: excited, angry. refusing to go to sleep, wakes up crying during the night, very little improved by consolation, bad wake-up in the morning, as after a nap. MEDORRHIMUM 9CH: joyful in the evening, not willing to go to sleep, sleeps on all fours with the buttocks in the air and swings back and forth, very bad wake-up. CHAMOMILLA 9CH: wake-up between 20 and 24 pm, worsened by the teeth growth, terrible rages that can not be calmed down only by walking him in the arms of a parent. COFFEA 9CH: excited by joyful emotions, he must sleep alone into a separate room, with the risk of not beeing able to fall asleep. SULFUR 9CH: worsened by the heat of the bed, he uncovers himself, always in shape and not standing the forced inaction of sleep. ARNICA 5CH: the child is not able to fall asleep after having played too much. CYPRIPEDUM 9CH: a child that once fallen asleep, wakes up for playing in his room without saying anything."
SLEEPING PROBLEMS,,,,Take  as the case  5 granules at bedtime. Insomnia after fear : Aconit 9CH. During menstruation : Actea Racemosa 7CH. Anxious agitation : Arsenicum Album 9CH.  By frightening visions : Belladonna 7CH. Intestinal worms : Cina 5CH. In the mountains : Coca 7CH. After many sleepless hours : Cocculus indicus 7CH. By abundance of ideas : Coffea 7CH. After coffee excess : Coffea 9CH. After bad news : Gelsemium 15CH. After annoyance : Ignatia 9CH. After intellectual overwork : Kalium Phosphoricum 9CH. Because of digestive cramps : Nux Vomica 5CH before meals. After alcohol or food excess : Nux Vomica 7CH. By physical overwork : Rhus Toxicodendron 9CH. By fear of dark : Stramonium 7CH. By intolerance at the slightest noise : Theridion 9CH. With irritated legs  : Zincum Metallicum 9CH.
SLEEPING TROUBLES,,,,In infants : Cypripedium pubescens 7CH. Alternate with Chamomilla 7CH. Baby\u2019s symptoms : In case he wakes up at the slightest noise : 3 granules at bedtime : Sulfur 7CH In case he has nightmares : 3 granules at bedtime : Stramonium 7CH.In case he cries at night but is calm during daytime : 3 granules at bedtime : Jalapa 7CH. In case he needs to be rocked for falling asleep : 3 granules at bedtime : Chamomilla 7CH.
SLEEPLESSNESS,"FERRUM PHOSPHORICUM 12X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,NATRUM MURIATICUM 3X,MAGNESIA PHOSPHORICA 3X,SILICEA 12X MIX  AND TAKE.IF REMEDY FAILS TRY REMEDY 2.","CALCARIA SULPHURICUM 3XCALCARIA PHOSPHORICA  3X OR 12X,CALCARIA FLOURIDE 3X,NATRUM PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X MIX AND TAKE.",,"FERRUM PHOSPHORICUM 12X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,NATRUM MURIATICUM 3X,MAGNESIA PHOSPHORICA 3X,SILICEA 12X MIX  AND TAKE.IF REMEDY FAILS TRY REMEDY 2.,CALCARIA SULPHURICUM 3XCALCARIA PHOSPHORICA  3X OR 12X,CALCARIA FLOURIDE 3X,NATRUM PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X MIX AND TAKE.,"
SMOKING,,,,Nux Vomica 5 CH before meals  and 15CH (dose) on Sunday for favoring detoxification  and for calming hyperirritability which often occurs. Ignatia 15CH against nervous tension driven by smoking cessation.Daily :3 granules to suck at wake-up : Caladium 5CH. 3 granules to suck at bedtime : Tabacum 5CH.
SNEEZETENDENCY,"SILICEA 12X,THEN TAKE SILICIA 30X",,,"SILICEA 12X,THEN TAKE SILICIA 30X"
SNEEZING EXCESSIVE,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X,MAGNESIA PHOSPHORICA 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X,THEN 3X MIX AND TAKE.IF REMEDY FAILS TRY REMEDY 2.","FERRUM PHOSPHORICUM 12X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,MAGNESIA PHOSPHORICA 3X MIX IN HOT WATER AND TAKE.",,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X,MAGNESIA PHOSPHORICA 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X,THEN 3X MIX AND TAKE.IF REMEDY FAILS TRY REMEDY 2.,FERRUM PHOSPHORICUM 12X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,MAGNESIA PHOSPHORICA 3X MIX IN HOT WATER AND TAKE.,"
SOMNOLENCE,,,,In order to fight against the tendency to fall asleep  it is appropriate to systematically take 5 granules of Nux moschata 9 CH two times per day.To subjects with a tendency to fall asleep  it is recommended to rather take 5 granules of Nux vomica 9 CH before lunch. For limiting the nervosity states  it is advised to take 5 granules ofIgnatia amara 9 CH three times per day. opium  used in small quantities  also acts as a sedative and an euphoric that can soothe irritation and nervousness. Finally  it is also possible to take 5 granules of Lycopodium clavatum 5 CH and of Actaea Racemosa 9 CH three times per day in order to fight against somnolence.
SORES,,,,Skin sores is a skin illness characterized by formation of dry and scaly plates on the skin epidermis. This dermatosis can even go until the hardening of the skin.Graphites 5CH alterneted with Mezereum 5CH in an amount of 3 times per day. 
SPASMODIC CORYZAS,,,,"Following a cold: ACONIT 9CH : 1 continuous dose especially after a cold with 40 degrees with no sweating, then/or  BELLADONNA 5CH : 5 granules 3 times a day, in case of fever and sweating. Associate with the cure of the symptoms of nasal flow(aqueous, mucopurulent, ...)"
SPASMODIC TREMBLING,,,,Nervous trembling is the most common and it spares no age category. For treating it  homeopathy prescribes a certain number of remedies among which Cicuta virosa and Argentum nitricum. These two remedies are the most appropriate for avoiding trembling originating from a psychological shock characterized by a lack of courage.Concerning emotional trembling  Pulsatilla and Ignatia amara are the most prescribed. Finally for tremblings characterized by exaltation and indecisive approach  Agaricus muscarius is recommended.
SPASMOPHILIA,,,,For taking homeopathic granules  it is enough to place them under the tongue until they melt. However  it is worth noting that one granule of Valeriana Officinalis is composed of a mixture of lactose and sucrose. Treatments of spasmodic and chronic pains  based on this remedy  require the same dose  in an amount of 5 granules  two times per day. This daily dose is especially recommended in case of muscle and gastric spasms. The dilution of the remedy will depend on the severeness of pain and will have to vary between 4 \u00e0 5 CH. When Valeriana Officinalis is taken as a antispasmodic  the treatment will last for three months.
SPASMS,,,,"In case your child suffers from spasms or convulsions, you can administrate him granules of CICUTA VIROSA 9CH. The dosage is of 5 granules every two hours. "
SPERMATORRHOEA,"CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X,KALI PHOSPHORICUM 3X,NATRUM PHOSPHORICUM 3X, NATRUM MURIATICUM 3X,SILICEA 12X MIX  AND TAKE.IF REMEDY FAILS TRY REMEDY 2.","NATRUM SULPHURICUM 3X,KALI MURIATICUM 3X MIX  AND TAKE.",,"CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X,KALI PHOSPHORICUM 3X,NATRUM PHOSPHORICUM 3X, NATRUM MURIATICUM 3X,SILICEA 12X MIX  AND TAKE.IF REMEDY FAILS TRY REMEDY 2.,NATRUM SULPHURICUM 3X,KALI MURIATICUM 3X MIX  AND TAKE.,"
SPLEEN PAIN,"CALCARIA PHOSPHORICA  3X OR 12X,KALI MURIATICUM 3X,KALI PHOSPHORICUM 3X,MAGNESIA PHOSPHORICA 3X,NATRUM MURIATICUM 3X,SILICEA 12X MIX  AND TAKE.",,,"CALCARIA PHOSPHORICA  3X OR 12X,KALI MURIATICUM 3X,KALI PHOSPHORICUM 3X,MAGNESIA PHOSPHORICA 3X,NATRUM MURIATICUM 3X,SILICEA 12X MIX  AND TAKE."
SPRAIN,"FERRUM PHOSPHORICUM 12X,CALCARIA SULPHURICUM 3XMIX  AND TAKE.",,,"FERRUM PHOSPHORICUM 12X,CALCARIA SULPHURICUM 3XMIX  AND TAKE."
SPRAIN,,,,Alternate the following granules 3 times per day  until disappearance of symptoms 3 granules of ARNICA MONTANA 5 CH3 granules of RUTA GRAVEOLENS 5 CH3 granules of RHUS TOXICODENDROM 5 CH
SPRUE,CALCARIA SULPHURICUM 200X DAILY IN MORNING FOR 5-7 DAYS ANDNATRUM MURIATICUM 3X DAILY AT 12:00 P.M.,,,CALCARIA SULPHURICUM 200X DAILY IN MORNING FOR 5-7 DAYS ANDNATRUM MURIATICUM 3X DAILY AT 12:00 P.M.
SQUINT IN EYES,CALCAREA PHOSPHORICA 3X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM PHOSPHORICUM 3X NATRUM MURIATICUM 3X MAGNESIA PHOSPHORICA 3X FERRUM PHOSPHORICUM 12X TAKE 3 TIMES A DAY FOR MANY DAYS THEN FERRUM PHOSPHORICUM30X 2 TIMES ADAY,,,CALCAREA PHOSPHORICA 3X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM PHOSPHORICUM 3X NATRUM MURIATICUM 3X MAGNESIA PHOSPHORICA 3X FERRUM PHOSPHORICUM 12X TAKE 3 TIMES A DAY FOR MANY DAYS THEN FERRUM PHOSPHORICUM30X 2 TIMES ADAY
STABILIZING MENSTRUATION,,,,Zincum m\u00e9tallicum is prescribed for relieving dysmenorrhea  ovarian pain  especially of the left ovary  nymphomania  delayed menstruation  breast pains  heavy periods at night  but also irregular during the same cycle.
STARVED BABY,,,,"1 dose dissolved in a small quantity of water. To give all at once. CINA 15CH : in all cases. IODUM 15CH : in case mother has hormonal disorders after childbirth . LYCOPODIUM 9CH : the baby is claiming but only takes a few sips before falling asleep again, to cry in a few minutes again."
STEADY TICS,,,,Concerning tics  homeopathy usually proposes regular care in order to eliminate different symptoms. In fact  most of the tics disappear by themselves as soon as they reach adulthood. That is why  a background treatment is prescribed only when the illness persists. As most of the symptoms are accompanies by involuntary muscle contractions  remedies such as Ignata and Cuprum Metallicum are most prescribed during treatments.They are also prescribed in case of painful facial tics. Generally  it is advised to take during a month 5 granules of Agaricus muscarius 9 CH two times per day  for relieving tics.
STOMACH ACHES,,,,In case of diarrhea : Take 1 granule every 2 hours of Podophyllum 5CHIn case of acidity : Take 3 granules 3 times per day of Iris Versicolor 5CHIn case of bloating : Take 3 granules 3 times per day of Lycopodium 5CHIn case of nausea : Take 3 granules 3 times per day of Ipeca 5CHIn case of difficult digestion : Take 3 granules 3 times per day of Nux Vomica 5CH
STOMACH BURNS,,,,In case you suffer from stomach burns  and you have a feeling of heaviness and gas after meals  and a bitter taste in your mouth  especially after a generous meal  try one dose of 30 CH of Nux vomica every two hours until you feel better. In case food seems to be stuck behind your sternum  in case your tongue is coated and you have cravings for starch  it is recommended to try one dose of 3 CH of Natrum muriaticum every two hours  which can relieve you if your pains are accompanied by nervosity  tension and pain in the upper part of the abdomen.
STOMACH PAINS,,,,Alternate the following granules hourly  until disappearance of symptoms3 granules of NUX VOMICA 5 CH3 granules of COLOCYNTHIS  5 CH3 granules of BELLADONA 5 CH
STOOL WHITE,"KALI MURIATICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X  MIX  AND TAKE.",,,"KALI MURIATICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X  MIX  AND TAKE."
STOOLGREEN,"CALCARIA PHOSPHORICA  3X OR 12X,NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X MIX  AND TAKE.",,,"CALCARIA PHOSPHORICA  3X OR 12X,NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X MIX  AND TAKE."
STOOLHARD,"CALCARIA PHOSPHORICA  3X OR 12X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X MIX  AND TAKE.",,,"CALCARIA PHOSPHORICA  3X OR 12X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X MIX  AND TAKE."
STOOL-YELLOW,"KALI SULPHURICUM 3X,NATRUM SULPHURICUM 3X,MIX  AND TAKE.",,,"KALI SULPHURICUM 3X,NATRUM SULPHURICUM 3X,MIX  AND TAKE."
STUFFY NOSE,,,,"CAMPHORA 5 CH : acute coryza at first with stuffy nose and sneezing with general cold sensation. SAMBUCUS NIGRA 5CH : dry coryza with dry and stuffy nose, the child breathes with open mouth, sensation of not knowing to breathe anymore, often sniffing. STICTA PULMONARIA : dry nose with frequent need to blow nose without any result, pains at the root of the nose (remedy of sinusitis) AMMONIUM CARBONICA 5CH : stuffy nose at night with hot flows during daytime. LYCOPODIUM 5CH : stuffy nose with thick and yellowish flow during daytime, feeling of obstruction and of dryness at the root of the nose."
STUTTERING,,,,"Stramonium 9CH 5 granules 2 times per day.At wake-up : alternate 1 day of 2, Argentum 9CH and Gelsemium 9CH / 5 granules. At bedtime : alternate Baryta Carb. 9CH and Kali Bromat 7CH.In case the subject is very emotional, take Causticum 12CH 1 / dose."
STYE ON EYE LID,"CALCARIA FLOURIDE 3X,FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,SILICEA 12X MIX  AND TAKE 4 TIMES A DAY.",,,"CALCARIA FLOURIDE 3X,FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,SILICEA 12X MIX  AND TAKE 4 TIMES A DAY."
SUNBURN,,,,In case you hardly bear the sun (sun allergy)  you can use this same treatment :Alternate the following granules 3 times per day  until disappearance of symptoms3 granules of MURIATICUM ACIDUM 5 CH3 granules of <b<BELLADONA  5 CH3 granules of APIS MELLIFICA 5 CH
SUNSTROKE,,,,As a prevention  for people who can not stand sun on their skin. Take 3 granules 3 times per day  by starting 15 days before the sun exposure period  and by continuing during the whole period. Natrum Muriaticum 9CH 1 dose. Sol 15CH 1 dose per week. Sunburns : Take Apis mellifica 15CH  5 granules hourly  until improvement. If accompanied by headaches and fever : Belladonna 9 CH  5 granules hourly. In case of burns with blisters or peeling of the surface layer of the skin : Cantharis 7CH.In case of sun allergy (hives) : Apis 9CH 3 granules 3 times per day.Sunstroke  discomfort : Glonoinum 5CH and Opium 9CH  3 granules of each  alternated every quarter of an hour
SURGICAL OPERATION,"BEFORE OPERATION CALCARIA PHOSPHORICA  3X OR 12X ,KALI PHOSPHORICUM 3X,NATRUM MURIATICUM 3X MIX  AND TAKE.AFTER OPERATION CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X,KALI PHOSPHORICUM 3X,FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,NATRUM MURIATICUM ,MAGNESIA PHOSPHORICA 3X,NATRUM PHOSPHORICUM 3X ,SILICEA 12X MIX  AND TAKE AND DAILY ONE TABLET OF STAPHYSAGARIA 30.",,,"BEFORE OPERATION CALCARIA PHOSPHORICA  3X OR 12X ,KALI PHOSPHORICUM 3X,NATRUM MURIATICUM 3X MIX  AND TAKE.AFTER OPERATION CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X,KALI PHOSPHORICUM 3X,FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,NATRUM MURIATICUM ,MAGNESIA PHOSPHORICA 3X,NATRUM PHOSPHORICUM 3X ,SILICEA 12X MIX  AND TAKE AND DAILY ONE TABLET OF STAPHYSAGARIA 30."
SWEET TASTE,TAKE CALCARIA PHOSPHORICA  3X OR 12X.,,,TAKE CALCARIA PHOSPHORICA  3X OR 12X.
SWELLING-OEDEMA,"CALCARIA FLOURIDE 3X,FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,KALI  PHOSPHORICA 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X,SILICEA 12X MIX AND TAKE AT THE GAP OF 3-3 HOURS 4 TIMES A DAY.",,,"CALCARIA FLOURIDE 3X,FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,KALI  PHOSPHORICA 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X,SILICEA 12X MIX AND TAKE AT THE GAP OF 3-3 HOURS 4 TIMES A DAY."
